run,train_region,test_region,epochs_run,best_epoch,val_precision_best,val_recall_best,val_f1_best,eval_precision,eval_recall,eval_f1,predicted,inventory,iou_eval
original,SW (1951),NE (2211),14,5,0.313,0.464,0.374,0.4,0.386,0.393,2162,2211,0.4
swap,NE (2211),SW (1951),11,2,0.394,0.492,0.437,0.586,0.22,0.32,679,1951,0.4
