epoch,train_loss,val_precision,val_recall,val_f1,val_loss,seconds
0,0.6919335126876831,0.4302997887134552,0.46615368127822876,0.4475097420591878,0.7109791040420532,129.1
1,0.8874809741973877,0.3872630298137665,0.47952669858932495,0.42848445496561205,0.6788366436958313,124.2
2,0.640911340713501,0.39358940720558167,0.4918323755264282,0.43726056192261237,0.6940187215805054,123.6
3,0.5407412052154541,0.3689369559288025,0.4564814269542694,0.4080666764660641,0.6720870137214661,122.6
4,0.6224834322929382,0.41842764616012573,0.4826989471912384,0.44827127679373124,0.6685202717781067,121.9
5,0.6932054758071899,0.4203755855560303,0.4567175507545471,0.43779366154833144,0.6915826201438904,122.2
6,0.6787891983985901,0.42370542883872986,0.4600706100463867,0.4411398511589205,0.7036029696464539,121.6
7,0.635638415813446,0.4799608588218689,0.4301433563232422,0.45368864638102324,0.7538233995437622,121.7
8,0.5759760141372681,0.4949485659599304,0.41441553831100464,0.4511160610699293,0.7970036864280701,122.0
9,0.44815757870674133,0.4519059658050537,0.40544232726097107,0.42741510763119417,0.7910455465316772,121.8
10,0.5941683053970337,0.4381297826766968,0.43325188755989075,0.43567718216828155,0.7561618089675903,122.0
