epoch,train_loss,val_loss,val_acc,seconds
0,0.4093,0.3365,0.8727,17.1
1,0.326,0.3448,0.8742,13.2
2,0.2995,0.3788,0.8719,12.4
3,0.2678,0.3812,0.8696,12.4
4,0.2611,0.4295,0.8526,12.4
5,0.2216,0.4452,0.8735,12.4
6,0.2173,0.3721,0.8634,12.5
