model,test_accuracy,base_rate,lift_over_base,palm_precision,palm_recall,palm_f1,tp,fp,fn,tn
linear_probe,0.8473,0.546,0.3014,0.8266,0.752,0.7876,367,77,121,732
finetune,0.899,0.546,0.353,0.9048,0.8176,0.859,399,42,89,767
