epoch,train_loss,val_precision,val_recall,val_f1,val_loss,seconds
0,0.9645872116088867,0.25931617617607117,0.449545681476593,0.32890602274187136,0.7701488137245178,129.4
1,0.5446738004684448,0.2843497097492218,0.45784828066825867,0.3508202053847365,0.7670460939407349,121.8
2,0.7828630208969116,0.27395954728126526,0.45163479447364807,0.3410436292301202,0.773395299911499,120.9
3,0.39337021112442017,0.3260335922241211,0.4374644458293915,0.3736174754494767,0.8003953695297241,119.9
4,0.35785502195358276,0.309451162815094,0.4540654122829437,0.36806291941214236,0.7794705629348755,118.3
5,0.5660338401794434,0.31262287497520447,0.46402955055236816,0.37356801420813485,0.8155807256698608,118.3
6,0.49464836716651917,0.277657151222229,0.4545179605484009,0.344726719268058,0.8436183333396912,119.0
7,0.4869723618030548,0.3218969404697418,0.4393380284309387,0.3715582519498762,0.8107273578643799,118.7
8,0.3691355586051941,0.3221588730812073,0.4407515227794647,0.37223772190775073,0.877107560634613,117.7
9,0.4060966670513153,0.3019789159297943,0.42694738507270813,0.35375073810891133,0.8656055927276611,118.2
10,0.5271754264831543,0.2955990135669708,0.4216335117816925,0.34754266089329505,0.8332219123840332,117.6
11,0.4021555781364441,0.31210947036743164,0.4236619472503662,0.35942930862757133,0.8946257829666138,117.5
12,0.3938577473163605,0.323406845331192,0.42923763394355774,0.3688817042141245,0.9056392312049866,116.1
13,0.3045596480369568,0.3286958932876587,0.43714115023612976,0.3752404041688174,0.9591710567474365,117.0
