conf,radius_m,n_pred,tp,precision,recall,f1
0.02,2.0,7527,834,0.1108,0.2027,0.1433
0.05,2.0,0,0,0.0,0.0,0.0
0.1,2.0,0,0,0.0,0.0,0.0
0.15,2.0,0,0,0.0,0.0,0.0
0.2,2.0,0,0,0.0,0.0,0.0
0.3,2.0,0,0,0.0,0.0,0.0
0.4,2.0,0,0,0.0,0.0,0.0
0.5,2.0,0,0,0.0,0.0,0.0
0.6,2.0,0,0,0.0,0.0,0.0
0.7,2.0,0,0,0.0,0.0,0.0
