epoch,train_loss,val_precision,val_recall,val_f1,val_loss,seconds
0,0.9026716947555542,0.1380845308303833,0.048978861421346664,0.0723,0.9131166934967041,117.1
1,0.8787858486175537,0.15062446892261505,0.0427093543112278,0.0665,0.9396016001701355,62.2
2,0.8748244047164917,0.1308990865945816,0.04485214501619339,0.0668,0.9343972206115723,61.7
3,0.9292113184928894,0.13478094339370728,0.04108312726020813,0.063,0.9320933222770691,60.9
4,0.7706791162490845,0.15802299976348877,0.04821634292602539,0.0739,0.9502105116844177,60.8
5,0.8861138224601746,0.1442110538482666,0.04654287174344063,0.0704,0.9395425915718079,60.4
6,0.9833512306213379,0.16050545871257782,0.03961792215704918,0.0635,0.9830833673477173,61.5
7,0.933556318283081,0.1527630090713501,0.04810208082199097,0.0732,0.9557744860649109,60.0
8,0.6874248385429382,0.134071484208107,0.03848949819803238,0.0598,0.9898885488510132,60.3
