conf,radius_m,n_pred,tp,precision,recall,f1
0.02,1.5,8184,772,0.0943,0.1877,0.1255
0.05,1.5,852,117,0.1373,0.0284,0.0471
0.1,1.5,1,0,0.0,0.0,0.0
0.15,1.5,0,0,0.0,0.0,0.0
0.2,1.5,0,0,0.0,0.0,0.0
0.3,1.5,0,0,0.0,0.0,0.0
0.4,1.5,0,0,0.0,0.0,0.0
0.5,1.5,0,0,0.0,0.0,0.0
0.6,1.5,0,0,0.0,0.0,0.0
0.7,1.5,0,0,0.0,0.0,0.0
